"ID_Account","Account","Account2","id_Aramis","ID_Staff","ID_AV_verantw","Standort","Shipping_Street1","Shipping_Street2","Shipping_Postal_Code","Shipping_City","Shipping_Country","Shipping_State","Phone1","Phone2","Fax","Email","Webseite"
"MOCK1","Mock Pharma GmbH","Hauptsitz","MOCK001","STA02","","Stuttgart","Musterstraße 123","","70174","Stuttgart","","","+49 (711) 123456-0","","+49 (711) 123456-99","info@mock-pharma.de","www.mock-pharma.de"
"MOCK2","Test Arzneimittel AG","Produktion","MOCK002","STA140","","Bremen","Industrieweg 45","","28199","Bremen","","","+49 (421) 987654-0","","+49 (421) 987654-50","kontakt@test-arzneimittel.de","www.test-arzneimittel.de"
"MOCK3","Sample Medizin GmbH","Forschung","MOCK003","STA99","","Stuttgart","Forschungsstraße 78","","70565","Stuttgart","","","+49 (711) 555123-0","","+49 (711) 555123-88","info@sample-medizin.de","www.sample-medizin.de"
"MOCK4","Demo Healthcare KG","Vertrieb","MOCK004","STA02","STA31","Stuttgart","Handelsweg 12","","70173","Stuttgart","","","+49 (711) 444777-0","","+49 (711) 444777-77","service@demo-healthcare.de","www.demo-healthcare.de"
"MOCK5","Example Pharma GmbH","Logistik","MOCK005","STA140","","Bremen","Lagerstraße 89","","28215","Bremen","","","+49 (421) 333666-0","","+49 (421) 333666-99","logistik@example-pharma.de","www.example-pharma.de"
"MOCK6","Mock Medical Solutions","Entwicklung","MOCK006","STA99","","Stuttgart","Entwicklungsallee 234","","70569","Stuttgart","","","+49 (711) 888999-0","","+49 (711) 888999-11","entwicklung@mock-medical.de","www.mock-medical.de"
"MOCK7","Test Healthcare AG","Marketing","MOCK007","STA02","","Stuttgart","Marketingplatz 56","","70176","Stuttgart","","","+49 (711) 111222-0","","+49 (711) 111222-33","marketing@test-healthcare.de","www.test-healthcare.de"
"MOCK8","Sample Pharma GmbH","Qualitätssicherung","MOCK008","STA140","STA24","Bremen","Qualitätsweg 78","","28217","Bremen","","","+49 (421) 777888-0","","+49 (421) 777888-44","qs@sample-pharma.de","www.sample-pharma.de"
"MOCK9","Demo Medical KG","Forschung & Entwicklung","MOCK009","STA99","","Stuttgart","Forschungsallee 90","","70567","Stuttgart","","","+49 (711) 222333-0","","+49 (711) 222333-55","forschung@demo-medical.de","www.demo-medical.de"
"MOCK10","Example Healthcare GmbH","Produktion","MOCK010","STA02","","Stuttgart","Produktionsstraße 123","","70178","Stuttgart","","","+49 (711) 666777-0","","+49 (711) 666777-66","produktion@example-healthcare.de","www.example-healthcare.de"
"MOCK11","Mock Pharma Solutions","Vertrieb","MOCK011","STA140","","Bremen","Vertriebsweg 45","","28219","Bremen","","","+49 (421) 999000-0","","+49 (421) 999000-77","vertrieb@mock-pharma-solutions.de","www.mock-pharma-solutions.de"
"MOCK12","Test Medical AG","Logistik","MOCK012","STA99","STA15","Stuttgart","Logistikstraße 67","","70563","Stuttgart","","","+49 (711) 333444-0","","+49 (711) 333444-88","logistik@test-medical.de","www.test-medical.de"
"MOCK13","Sample Healthcare GmbH","Marketing","MOCK013","STA02","","Stuttgart","Marketingallee 89","","70180","Stuttgart","","","+49 (711) 555666-0","","+49 (711) 555666-99","marketing@sample-healthcare.de","www.sample-healthcare.de"
"MOCK14","Demo Pharma KG","Qualitätssicherung","MOCK014","STA140","","Bremen","Qualitätsstraße 12","","28221","Bremen","","","+49 (421) 777999-0","","+49 (421) 777999-11","qs@demo-pharma.de","www.demo-pharma.de"
"MOCK15","Example Medical Solutions","Forschung","MOCK015","STA99","","Stuttgart","Forschungsweg 34","","70561","Stuttgart","","","+49 (711) 888111-0","","+49 (711) 888111-22","forschung@example-medical.de","www.example-medical.de"
"MOCK16","Mock Healthcare AG","Produktion","MOCK016","STA02","STA31","Stuttgart","Produktionsallee 56","","70182","Stuttgart","","","+49 (711) 222444-0","","+49 (711) 222444-33","produktion@mock-healthcare.de","www.mock-healthcare.de"
"MOCK17","Test Pharma GmbH","Vertrieb","MOCK017","STA140","","Bremen","Vertriebsstraße 78","","28223","Bremen","","","+49 (421) 666888-0","","+49 (421) 666888-44","vertrieb@test-pharma.de","www.test-pharma.de"
"MOCK18","Sample Medical KG","Logistik","MOCK018","STA99","","Stuttgart","Logistikallee 90","","70559","Stuttgart","","","+49 (711) 999111-0","","+49 (711) 999111-55","logistik@sample-medical.de","www.sample-medical.de"
"MOCK19","Demo Healthcare GmbH","Marketing","MOCK019","STA02","","Stuttgart","Marketingweg 12","","70184","Stuttgart","","","+49 (711) 333555-0","","+49 (711) 333555-66","marketing@demo-healthcare.de","www.demo-healthcare.de"
"MOCK20","Example Pharma Solutions","Qualitätssicherung","MOCK020","STA140","STA24","Bremen","Qualitätsallee 34","","28225","Bremen","","","+49 (421) 777000-0","","+49 (421) 777000-88","qs@example-pharma-solutions.de","www.example-pharma-solutions.de" 
